Russian Federation,..,8092685,8150535.44,8150125.16,8149714.88,8149304.6,8151210.3,8153116,8153116,8153116,8153116
Rwanda,3170,2870,2670,2680,2690,2700,2720,2730,2740,2750,2760
Samoa,1761.3,1713.1,1655.22,1650.38,1645.54,1640.7,1635.9,1631.1,1626.3,1621.5,1616.7
San Marino,10,10,10,10,10,10,10,10,10,10,10
Sao Tome and Principe,586.2,583.6,568.6,562.4,556.2,550,543.8,537.6,531.4,525.2,519
Saudi Arabia,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770
Senegal,93031.6,88531.6,83881.6,83481.6,83081.6,82681.6,82281.6,81881.6,81481.6,81081.6,80681.6
Serbia,..,..,27156.12,27169.18,27182.24,27195.3,27201.8,27218.6,27220,27222.2,27226.5
Seychelles,337,337,337,337,337,337,337,337,337,337,337
Sierra Leone,31267,29294.3,26927.08,26729.82,26532.56,26335.3,26138,25940.7,25743.4,25546.1,25348.8
Singapore,148.269,170.135,172.328,169.79,167.252,164.714,162.855,161.1,159.3,157.5,155.7
Sint Maarten (Dutch part),..,..,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
Slovak Republic,..,19014.1,19194.46,19202.14,19209.82,19217.5,19233.7,19259,19259,19259,19259
Slovenia,..,12330,12474,12476,12478,12480,12459.7,12439.3,12419,12398.6,12378.3
Solomon Islands,25449.1,25376,25288.16,25280.84,25273.52,25266.2,25258.9,25251.6,25244.3,25237,25229.7
Somalia,82825,75150,65940,65172.5,64405,63637.5,62870,62102.5,61335,60567.5,59800
South Africa,181420.9,177780.9,173412.9,173048.9,172684.9,172320.9,171956.9,171592.9,171228.9,170864.9,170500.9
South Sudan,..,..,71570,71570,71570,71570,71570,71570,71570,71570,71570
Spain,139046.6,170939.3,185476.76,185488.44,185500.12,185511.8,185552.4,185593,185635.9,185678.8,185721.7
Sri Lanka,23503.3,21664.2,21137,21187.4,21237.8,21288.2,21256.6,21225,21193.4,21161.8,21130.2
St. Kitts and Nevis,110,110,110,110,110,110,110,110,110,110,110
St. Lucia,212.7,210.1,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7
St. Martin (French part),..,..,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
St. Vincent and the Grenadines,275.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4
Sudan,307273.1,289831.6,197326.74,195584.26,193841.78,192099.3,190481.9,188760.3,187038.7,185317.1,183595.5
Suriname,153776.3,153408.7,152805.84,152709.46,152613.08,152516.7,152403.2,152330.2,152207.8,152085.3,151962.9
Sweden,280630,281630,280358,280172,279986,279800,279800,279800,279800,279800,279800
Switzerland,11535,11961.8,12415.96,12450.34,12484.72,12519.1,12553.5,12587.9,12622.3,12656.7,12691.1
